Living,Food,Medical,Transportation,Morty,Shopping,Entertainment,Sport,Misc.,Travel,Debts,Savings,Income,Kyle,Richard;Japan,,
"1,""NT$0,0"",""NT$750,0"",""NT$8 202,0"",""NT$20,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
"2,""NT$0,0"",""NT$1 125,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
"3,""NT$0,0"",""NT$1 817,0"",""NT$0,0"",""NT$145,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
"4,""NT$0,0"",""NT$398,0"",""NT$0,0"",""NT$40,0"",""NT$0,0"",""NT$0,0"",""NT$600,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
"5,""NT$0,0"",""NT$1 150,0"",""NT$0,0"",""NT$350,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,""NT$71 627,0"",,,,";
"6,""NT$1 600,0"",""NT$3 419,0"",""NT$0,0"",""NT$200,0"",""NT$0,0"",""NT$0,0"",""NT$32,0"",""NT$0,0"",""NT$12 318,0"",""NT$0,0"",,,,,,,";
"7,""NT$0,0"",""NT$838,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,""¥2 580,00"",""NT$747,43"",Already";entered
"8,""NT$0,0"",""NT$132,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,""¥4 212,00"",""NT$1 220,22"",";
"9,""NT$0,0"",""NT$990,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,""¥1 999,00"",""NT$579,11"",";
"10,""NT$32 530,0"",""NT$285,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$12 680,0"",,""NT$85 482,0"",,,,";
"11,""NT$0,0"",""NT$525,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$600,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
"12,""NT$0,0"",""NT$946,0"",""NT$0,0"",""NT$0,0"",""NT$304,0"",""NT$711,0"",""NT$0,0"",""NT$30,0"",""NT$0,0"",""NT$0,0"",,,,,""¥4 050,00"",""NT$1 173,28"",";
"13,""NT$0,0"",""NT$853,0"",""NT$3 000,0"",""NT$98,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",,,,,""¥1 410,00"",""NT$408,48"",";
"14,""NT$0,0"",""NT$335,0"",""NT$0,0"",""NT$150,0"",""NT$0,0"",""NT$0,0"",""NT$0,0"",""NT$50,0"",""NT$0,0"",""NT$0,0"",,,,,,,";
